0,1,2,3,4,y
1.0,0.10836205748805312,0.9064176492254735,1.0,0.0,0
1.0,-0.3982657437547934,0.15281111994535088,0.0,1.0,0
1.0,-1.0496443453527389,-0.14403249826539616,1.0,1.0,0
1.0,1.700620861394142,0.07391657443526943,1.0,0.0,0
1.0,-0.18113954322214487,1.2891210573656866,0.0,1.0,0
1.0,-0.5430165441098924,-0.5043381803665721,0.0,0.0,0
1.0,-0.6877673444649913,0.4916856829939366,0.0,0.0,0
1.0,-0.9048935449976399,-0.9584749240557512,1.0,0.0,0
1.0,-1.194395145707838,1.6845996922956483,0.0,0.0,1
1.0,-0.2535149433996944,-0.5624434779336689,1.0,0.0,0
1.0,-0.47064114393234285,0.12219825939336851,1.0,1.0,0
1.0,-1.194395145707838,0.34545496546133664,0.0,0.0,0
1.0,0.8321160592635481,0.5901883447503627,1.0,0.0,0
1.0,-0.10876414304459538,0.03509664646245326,0.0,1.0,0
1.0,1.1939930601512956,0.6644220334796811,1.0,1.0,0
1.0,1.1939930601512956,0.9315084592724803,1.0,0.0,0
1.0,-1.5562721465955853,0.5943615095954538,0.0,0.0,1
1.0,1.6282454612165926,-0.059458990498978154,1.0,1.0,0
1.0,-1.0496443453527389,-1.272091441654592,0.0,0.0,0
1.0,-0.3258903435772439,-0.6705782440742311,1.0,0.0,0
1.0,-1.483896746418036,-0.6819173889937024,1.0,1.0,0
1.0,0.8321160592635481,-0.6841419517759715,0.0,1.0,0
1.0,-1.194395145707838,-0.06320000895686954,1.0,1.0,0
1.0,-1.5562721465955853,-0.7450510631144817,1.0,0.0,0
1.0,-0.47064114393234285,0.8033050225630141,1.0,1.0,0
1.0,-0.6877673444649913,-0.14631641571811463,0.0,1.0,0
1.0,1.3387438605063946,0.6616788556646076,1.0,1.0,0
1.0,-1.5562721465955853,-0.6902228678812696,0.0,1.0,0
1.0,-1.339145946062937,-0.10712129970498621,1.0,1.0,0
1.0,-1.0496443453527389,0.2806844267020742,1.0,1.0,0
1.0,0.25311285784315213,-0.029630095408427103,1.0,0.0,0
1.0,0.25311285784315213,-0.3857372632549313,0.0,1.0,0
1.0,0.6873652589084491,0.43299986066998203,0.0,1.0,0
1.0,0.6149898587308996,-0.130306370667548,1.0,1.0,0
1.0,1.6282454612165926,1.1354955843948238,1.0,0.0,0
1.0,-0.3258903435772439,-0.06839541330450005,0.0,1.0,0
1.0,1.6282454612165926,-0.24589019214158958,1.0,0.0,0
1.0,-1.339145946062937,1.037094588753371,0.0,0.0,1
